Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Afghanistan,AFG,33.214,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Albania,ALB,11.816,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Algeria,DZA,23.132,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,American Samoa,ASM,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Andorra,AND,8.8,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Angola,AGO,41.819,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Antigua and Barbuda,ATG,16.225,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Arab World,ARB,25.92776636,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Argentina,ARG,17.172,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Armenia,ARM,13.456,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Aruba,ABW,10.974,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Australia,AUS,12.5,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Austria,AUT,10,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Azerbaijan,AZE,16.3,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Bahamas, The",BHS,14.271,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bahrain,BHR,14.762,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bangladesh,BGD,18.95,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Barbados,BRB,11.905,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belarus,BLR,12.4,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belgium,BEL,10.8,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belize,BLZ,22.534,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Benin,BEN,37.026,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bermuda,BMU,9.6,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bhutan,BTN,18.165,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bolivia,BOL,23.252,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bosnia and Herzegovina,BIH,9.158,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Botswana,BWA,23.669,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brazil,BRA,14.163,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,British Virgin Islands,VGB,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brunei Darussalam,BRN,15.873,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bulgaria,BGR,9.1,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burkina Faso,BFA,38.92,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burundi,BDI,42.248,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cabo Verde,CPV,20.901,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cambodia,KHM,23.296,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cameroon,CMR,36.3,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Canada,CAN,10.8,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Caribbean small states,CSS,16.48352501,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cayman Islands,CYM,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central African Republic,CAF,35.7,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central Europe and the Baltics,CEB,9.981660607,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chad,TCD,43.331,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Channel Islands,CHI,9.332,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chile,CHL,13.281,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,China,CHN,12,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Colombia,COL,15.198,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Comoros,COM,32.856,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Dem. Rep.",COD,42.28,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Rep.",COG,34.629,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Costa Rica,CRI,14.289,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cote d'Ivoire,CIV,36.832,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Croatia,HRV,9,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cuba,CUB,10.865,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Curacao,CUW,11.2,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cyprus,CYP,10.834,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Czech Republic,CZE,10.7,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Denmark,DNK,10.8,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Djibouti,DJI,23.002,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominica,DMA,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Dominican Republic,DOM,20.17,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Early-demographic dividend,EAR,20.8797871,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,East Asia & Pacific,EAS,13.50496903,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,East Asia & Pacific (excluding high income),EAP,14.09369479,..,..
